ID,location,date,time,total,new 
17,Ulsan,2020-03-20,0:00,36,0
0,Airport,2020-03-21,0:00,23,6
1,Busan,2020-03-21,0:00,108,0
2,Chung-buk,2020-03-21,0:00,34,1
3,Chung-nam,2020-03-21,0:00,119,0
4,Daegu,2020-03-21,0:00,6344,69
5,Daejeon,2020-03-21,0:00,22,0
6,Gangwon,2020-03-21,0:00,30,0
7,Gwangju,2020-03-21,0:00,18,0
8,Gyeonggi,2020-03-21,0:00,321,12
9,Gyeong-buk,2020-03-21,0:00,1243,40
10,Gyeong-nam,2020-03-21,0:00,87,0
11,Incheon,2020-03-21,0:00,40,4
12,Jeju,2020-03-21,0:00,4,0
13,Jeon-buk,2020-03-21,0:00,10,0
14,Jeon-nam,2020-03-21,0:00,5,0
15,Sejong,2020-03-21,0:00,41,0
16,Seoul,2020-03-21,0:00,314,15
17,Ulsan,2020-03-21,0:00,36,0
0,Airport,2020-03-22,0:00,34,11
1,Busan,2020-03-22,0:00,108,0
2,Chung-buk,2020-03-22,0:00,35,1
3,Chung-nam,2020-03-22,0:00,120,1
4,Daegu,2020-03-22,0:00,6387,43
5,Daejeon,2020-03-22,0:00,24,2
6,Gangwon,2020-03-22,0:00,30,0
7,Gwangju,2020-03-22,0:00,19,1
8,Gyeonggi,2020-03-22,0:00,337,16
9,Gyeong-buk,2020-03-22,0:00,1254,11
10,Gyeong-nam,2020-03-22,0:00,88,1
11,Incheon,2020-03-22,0:00,40,0
12,Jeju,2020-03-22,0:00,4,0
13,Jeon-buk,2020-03-22,0:00,10,0
14,Jeon-nam,2020-03-22,0:00,6,1
15,Sejong,2020-03-22,0:00,41,0
16,Seoul,2020-03-22,0:00,324,10
17,Ulsan,2020-03-22,0:00,36,0
0,Airport,2020-03-23,0:00,47,13
1,Busan,2020-03-23,0:00,109,1
2,Chung-buk,2020-03-23,0:00,37,2
3,Chung-nam,2020-03-23,0:00,120,0
4,Daegu,2020-03-23,0:00,6411,24
5,Daejeon,2020-03-23,0:00,24,0
6,Gangwon,2020-03-23,0:00,30,0
7,Gwangju,2020-03-23,0:00,19,0
